playerID,year,salary
aardsda01,2001,0
aardsda01,2002,0
aardsda01,2003,0
aardsda01,2004,0
aardsda01,2005,0
aardsda01,2006,0
aardsda01,2007,0
aardsda01,2008,0
aardsda01,2009,0
aardsda01,2010,0
aardsda01,2011,0
aardsda01,2012,0
aardsda01,2013,0
aardsda01,2014,0
aardsda01,2015,0
abadfe01,2001,0
abadfe01,2002,0
abadfe01,2003,0
abadfe01,2004,0
abadfe01,2005,0
abadfe01,2006,0
abadfe01,2007,0
abadfe01,2008,0
abadfe01,2009,0
abadfe01,2010,0
abadfe01,2011,0
abadfe01,2012,485000
abadfe01,2013,0
abadfe01,2014,0
abadfe01,2015,837500
abercre01,2001,0
abercre01,2002,0
abercre01,2003,0
abercre01,2004,0
abercre01,2005,0
abercre01,2006,0
abercre01,2007,0
abercre01,2008,0
abercre01,2009,0
abercre01,2010,0
abercre01,2011,0
abercre01,2012,0
abercre01,2013,0
abercre01,2014,0
abercre01,2015,0
abreujo02,2001,0
abreujo02,2002,0
abreujo02,2003,0
abreujo02,2004,0
abreujo02,2005,0
abreujo02,2006,0
abreujo02,2007,0
abreujo02,2008,0
abreujo02,2009,0
abreujo02,2010,0
abreujo02,2011,0
abreujo02,2012,0
abreujo02,2013,0
abreujo02,2014,0
abreujo02,2015,8416000
abreuju01,2001,0
abreuju01,2002,0
abreuju01,2003,0
abreuju01,2004,0
abreuju01,2005,0
abreuju01,2006,0
abreuju01,2007,0
abreuju01,2008,0
abreuju01,2009,0
abreuju01,2010,0
abreuju01,2011,0
abreuju01,2012,0
abreuju01,2013,0
abreuju01,2014,0
abreuju01,2015,0
abreuto01,2001,0
abreuto01,2002,0
abreuto01,2003,0
abreuto01,2004,0
abreuto01,2005,0
abreuto01,2006,0
abreuto01,2007,0
abreuto01,2008,0
abreuto01,2009,0
abreuto01,2010,0
abreuto01,2011,0
abreuto01,2012,0
abreuto01,2013,0
abreuto01,2014,0
abreuto01,2015,0
accarje01,2001,0
accarje01,2002,0
accarje01,2003,0
accarje01,2004,0
accarje01,2005,0
accarje01,2006,0
accarje01,2007,0
accarje01,2008,0
accarje01,2009,0
accarje01,2010,0
accarje01,2011,0
accarje01,2012,0
accarje01,2013,0
accarje01,2014,0
accarje01,2015,0
aceveal01,2001,0
aceveal01,2002,0
aceveal01,2003,0
aceveal01,2004,0
aceveal01,2005,0
aceveal01,2006,0
aceveal01,2007,0
aceveal01,2008,0
aceveal01,2009,0
aceveal01,2010,0
aceveal01,2011,0
aceveal01,2012,0
aceveal01,2013,0
aceveal01,2014,0
aceveal01,2015,0
achteaj01,2001,0
achteaj01,2002,0
achteaj01,2003,0
achteaj01,2004,0
achteaj01,2005,0
achteaj01,2006,0
achteaj01,2007,0
achteaj01,2008,0
achteaj01,2009,0
achteaj01,2010,0
achteaj01,2011,0
achteaj01,2012,0
achteaj01,2013,0
achteaj01,2014,0
achteaj01,2015,0
ackledu01,2001,0
ackledu01,2002,0
ackledu01,2003,0
ackledu01,2004,0
ackledu01,2005,0
ackledu01,2006,0
ackledu01,2007,0
ackledu01,2008,0
ackledu01,2009,0
ackledu01,2010,0
ackledu01,2011,0
ackledu01,2012,0
ackledu01,2013,0
ackledu01,2014,0
ackledu01,2015,2350000
acostma01,2001,0
acostma01,2002,0
acostma01,2003,0
acostma01,2004,0
acostma01,2005,0
acostma01,2006,0
acostma01,2007,0
acostma01,2008,0
acostma01,2009,0
acostma01,2010,0
acostma01,2011,0
acostma01,2012,0
acostma01,2013,0
acostma01,2014,0
acostma01,2015,0
adamecr01,2001,0
adamecr01,2002,0
adamecr01,2003,0
adamecr01,2004,0
adamecr01,2005,0
adamecr01,2006,0
adamecr01,2007,0
adamecr01,2008,0
adamecr01,2009,0
adamecr01,2010,0
adamecr01,2011,0
adamecr01,2012,0
adamecr01,2013,0
adamecr01,2014,0
adamecr01,2015,0
adamsau01,2001,0
adamsau01,2002,0
adamsau01,2003,0
adamsau01,2004,0
adamsau01,2005,0
adamsau01,2006,0
adamsau01,2007,0
adamsau01,2008,0
adamsau01,2009,0
adamsau01,2010,0
adamsau01,2011,0
