playerID,AVG,EAR,FPCT,Salaries
abadfe01,12,3.72140762463,94,379100
accarje01,14,4.29976580796,97,404880
alberma01,5,4.20144752714,95,705000
alvarhe01,23,3.80461811723,94,1129050
anderbr04,9,3.72367770638,97,3901428
anderch01,7,4.1797752809,94,262500
arrieja01,15,3.70033528919,93,860800
augenbr01,25,8.33823529412,85,164000
avilalu01,25,2.95952782462,96,262916
axelrdy01,12,5.27405247813,97,243000
badenbu01,9,3.74170461939,94,986500
baekch01,16,4.82717520858,95,161200
baileho02,15,4.18811881188,95,4355666
bakersc02,9,4.26048841578,97,2821785
balesco01,14,5.47176079734,80,235000
bannibr01,27,5.08441558442,98,766000
bassan01,10,4.39760479042,97,321300
bauertr01,7,4.49586016559,93,1311666
bautide01,25,5.88358208955,100,98833
beachbr01,11,3.36275695284,100,792875
beckejo02,14,3.87908337396,94,8901201
beeleda01,28,6.05172413793,100,258000
belisma01,8,4.34010152284,95,1862450
benneje01,11,4.29635036496,90,129166
bergebr02,22,4.60613207547,96,169500
bergmja01,6,5.03507271172,92,215250
bettich01,4,5.22423146474,97,250000
billich01,13,3.71927412703,94,3862437
blackni01,8,4.84812703583,97,1616000
blacktr01,20,5.23183391003,97,183000
blantjo01,10,4.43610547667,95,4272055
blazemi01,25,3.20547945205,93,258500
boggsmi01,3,4.12105263158,94,453500
bondeje01,3,4.91307879773,91,4916250
brazede01,16,6.37638376384,91,562000
buchada01,14,5.00693240901,88,262500
buchhcl01,18,3.85089141005,94,4120571
buchhta01,8,4.28295819936,96,437200
bucknbi02,22,6.02479338843,95,153000
bullibr01,33,5.62040816327,84,77000
bumgama01,18,3.03586678053,93,2235333
burnese01,6,3.5259391771,98,1221583
burrebr01,13,5.75162790698,96,145000
buterdr01,18,6.75,99,393300
butleed01,3,6.04195804196,87,259500
cahiltr01,10,4.12765302984,96,4085714
cainma01,12,3.47115384615,95,9141133
cappsma01,20,3.52084912813,95,2426928
carmofa01,5,4.58226284585,98,2944725
carpeda01,20,3.66246056782,93,522500
carpmi01,25,9.0,99,549100
carraca01,12,4.07913669065,94,597300
carvama01,25,5.21052631579,93,66000
cashnan01,15,3.58889512058,97,1322880
chacigu01,12,4.23243243243,94,102933
chacijh01,18,3.76145038168,94,1600250
chafian01,20,2.93258426966,94,257500
chatwty01,27,4.34210526316,94,241000
chaveje01,9,4.55300681959,96,685500
chicoma01,15,4.95,100,156666
cingrto01,19,3.83844911147,94,269000
clippty01,20,2.88256227758,96,3194833
cobbal01,9,3.21256684492,94,259550
colege01,17,3.0690647482,97,271750
collmjo01,12,3.48979591837,100,578750
corbipa01,11,3.7543713572,96,259000
cormila01,10,5.06970128023,96,515000
correke01,12,4.62389174055,95,2728125
cosarja01,13,3.54193548387,100,270000
cuetojo01,10,3.29500117343,93,4431625
cumptbr01,7,4.02317880795,100,257000
daiglca01,11,7.15813953488,100,50000
danksjo01,8,4.33288318704,96,6250000
darviyu01,18,3.26772616137,100,8083333
davieky01,13,5.57291215924,93,1408375
davisja02,5,4.82212581345,89,159900
daviswa01,25,3.63272727273,95,2573166
dedunsa01,16,4.38069989396,93,236446
